ï»¿X;Y;FID;AÃ±o;IdAccident;Latitud;longitud;ClaseAccid;Fecha;Hora;RegiÃ³n;Comuna;Tipo_Accid;Tipo__CONA;Zona;UbicaciÃ³n;Causa__CON;Causa_Acci;Calle_Uno;Calle_Dos;Intersecci;NÃºmero;Ruta;Ubicaci_1;Calzada;Tipo_Calza;Estado_Cal;CondiciÃ³n;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves
-7862396,338;-3955511,076;1;2024;1587058;-33,452426;-70,629108;1;2024/01/26 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;NUNOA;CHOQUE FRENTE/POSTERIOR;CHOQUE;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IRARRAZAVAL;GRAL BUSTAMANTE;GRAL BUSTAMANTE - IRARRAZAVAL;0;;;BIDIRECCIONAL CON BANDEJON;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7859284,847;-3955788,062;2;2024;1587059;-33,454502;-70,601157;1;2024/01/23 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;NUNOA;CHOQUE FRENTE/POSTERIOR;CHOQUE;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IRARRAZAVAL;JOSE LUIS ARANEDA;IRARRAZAVAL - JOSE LUIS ARANEDA;0;;;BIDIRECCIONAL CON BANDEJON;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;1
-7927226,471;-3987379,938;3;2024;1587079;-33,690955;-71,211487;1;2024/01/16 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;MELIPILLA;COLISION PERPENDICULAR;COLISION;URBANA;CRUCE CON SENAL PARE;DESOBEDIENCIA A SENALIZACION;SENALIZACION DESOBEDECER SENAL PARE;FUENZALIDA;BARRALES;BARRALES - FUENZALIDA;0;;;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7929042,872;-3987076,371;4;2024;1587081;-33,688686;-71,227804;1;2024/01/16 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;MELIPILLA;COLISION PERPENDICULAR;COLISION;URBANA;CRUCE CON SENAL PARE;DESOBEDIENCIA A SENALIZACION;SENALIZACION DESOBEDECER SENAL PARE;AURORA URRUTIA;EL MIRADOR;AURORA URRUTIA - EL MIRADOR;0;;;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;3
-7872821,074;-3960612,108;5;2024;1587085;-33,49065;-70,722755;1;2024/01/27 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;CERRILLOS;CHOQUE FRENTE/POSTERIOR;CHOQUE;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;LO ERRAZURIZ;PDTE SALVADOR ALLENDE;LO ERRAZURIZ - PDTE SALVADOR ALLENDE;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7927625,886;-3986418,022;6;2024;1587087;-33,683765;-71,215075;1;2024/01/19 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;MELIPILLA;CHOQUE FRENTE/POSTERIOR;CHOQUE;URBANA;CRUCE CON SENAL PARE;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;UGALDE;ORTUZAR;ORTUZAR - UGALDE;0;;;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7852542,893;-3974039,636;7;2024;1587090;-33,591187;-70,540593;1;2024/01/18 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PUENTE ALTO;COLISION LATERAL;COLISION;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;IMPRUDENCIA DEL CONDUCTOR;ADELANTAMIENTO SIN EFECTUAR LA SENAL RESPECTIVA;CAMILO HENRIQUEZ;SAN CARLOS;CAMILO HENRIQUEZ - SAN CARLOS;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7927976,097;-3989254,098;8;2024;1587091;-33,704962;-71,218221;1;2024/01/19 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;MELIPILLA;CHOQUE LADO/LADO;CHOQUE;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;VISTA HERMOSA;;- VISTA HERMOSA;2092;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7856413,138;-3976269,566;9;2024;1587097;-33,607872;-70,57536;1;2024/01/20 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PUENTE ALTO;COLISION LATERAL;COLISION;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;JOSE MANUEL IRARRAZAVAL;BALMACEDA;BALMACEDA - JOSE MANUEL IRARRAZAVAL;0;;;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7926665,421;-3986017,493;10;2024;1587099;-33,680771;-71,206447;1;2024/01/20 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;MELIPILLA;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;VICUNA MACKENNA;MANUEL RODRIGUEZ;MANUEL RODRIGUEZ - VICUNA MACKENNA;0;;;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7855640,247;-3955376,054;11;2024;1587102;-33,451414;-70,568417;1;2024/01/06 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LA REINA;CHOQUE FRENTE/FRENTE;CHOQUE;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;GUEMES;HANNOVER;GUEMES - HANNOVER;0;;;BIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;1;0;0
-7869461,452;-3955576,853;12;2024;1587107;-33,452919;-70,692575;1;2024/01/25 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;ESTACION CENTRAL;CHOQUE FRENTE/POSTERIOR;CHOQUE;URBANA;CRUCE CON SENAL PARE;DESOBEDIENCIA A SENALIZACION;SENALIZACION DESOBEDECER SENAL PARE;TORO MAZOTTE;CONDE DEL MAULE;CONDE DEL MAULE - TORO MAZOTTE;0;;;UNIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
