hora,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27
0,1,0,8,0,6,7,8
1,1,0,0,1,0,9,6
2,0,0,0,0,0,1,2
3,0,0,0,0,0,4,1
4,0,0,0,0,0,3,2
5,22,22,18,20,14,9,3
6,253,255,271,244,241,71,29
7,582,583,580,563,487,200,131
8,521,492,517,498,469,273,251
9,308,313,339,292,300,324,284
10,226,224,207,236,236,312,271
11,198,186,183,182,192,307,310
12,228,232,189,218,223,364,369
13,272,220,272,255,280,397,392
14,225,210,238,196,268,401,355
15,206,204,204,207,295,348,341
16,282,289,258,291,377,315,359
17,436,466,493,495,479,347,335
18,548,559,494,523,402,372,421
19,304,326,320,335,272,339,409
20,200,203,186,206,202,256,369
21,101,139,144,134,145,198,229
22,77,66,65,87,93,120,113
23,9,11,14,17,19,23,10
