hora,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27
0,293.0,0.0,919.1666666666666,0.0,1044.75,525.0,1208.3333333333333
1,51.0,0.0,0.0,2122.0,0.0,1486.5,898.75
2,0.0,0.0,0.0,0.0,0.0,445.0,1322.5
3,0.0,0.0,0.0,0.0,0.0,257.0,0.0
4,0.0,0.0,0.0,0.0,0.0,874.0,0.0
5,1493.5625,1612.0588235294117,1818.5,1539.4444444444443,1325.75,1604.0,930.3333333333334
6,1392.3668341708542,1372.0246305418718,1354.6445497630332,1424.4439024390244,1358.3045685279187,1388.9056603773586,1315.45
7,1356.4429824561403,1361.457627118644,1369.5726495726497,1348.9142857142858,1310.0,1261.1310344827587,1244.2857142857142
8,1295.0527638190954,1347.5569620253164,1343.9925373134329,1273.7437185929648,1218.781081081081,1212.4848484848485,1115.3668639053255
9,1116.1021276595745,1258.9254901960785,1162.526717557252,1171.2974137931035,1104.5887445887445,1271.2094017094016,1089.139175257732
10,1142.4342857142858,1103.5722891566265,1251.1509433962265,1134.7,1253.9613259668508,1156.3833333333334,1072.1345029239767
11,1281.0945945945946,1205.0137931034483,1125.248322147651,1268.9117647058824,1125.9225806451614,1243.521327014218,1115.9414634146342
12,1020.360655737705,1219.8620689655172,1216.9794520547946,1209.1377245508982,1131.8757763975154,1208.8455882352941,1058.9638554216867
13,1100.7358490566037,1186.0813953488373,1212.849765258216,1166.5255102040817,1266.7920792079208,1200.2274368231047,1233.7945736434108
14,1161.5117647058823,1203.962962962963,1140.8478260869565,1163.1012658227849,1093.2932692307693,1206.8184931506848,1132.5601851851852
15,1309.2635135135135,1245.5733333333333,1163.5031446540881,1274.2397260273972,1257.5701357466064,1266.5125,1127.5585585585586
16,1241.3640776699028,1295.2511210762332,1289.2153846153847,1180.8264840182649,1230.541958041958,1262.1,1113.5
17,1378.1575757575758,1376.7771587743732,1382.765625,1300.4641025641026,1391.9914772727273,1109.5862068965516,1185.5633802816901
18,1345.0883054892602,1359.2714617169374,1385.2838874680308,1455.7222222222222,1419.369337979094,1215.4939271255062,1309.58203125
19,1292.168181818182,1284.504132231405,1390.8135593220338,1268.0079365079366,1143.8994413407822,1266.4257425742574,1175.5230769230768
20,1251.1733333333334,1210.8698630136987,1239.463768115942,1309.4657534246576,1270.576388888889,1223.7251461988303,1261.7215189873418
21,998.8441558441558,1085.9722222222222,1006.6372549019608,1083.5052631578947,1246.16,1129.844262295082,1127.9139072847681
22,1281.6382978723404,1189.8541666666667,1333.5625,1297.603448275862,1343.1636363636364,1200.3827160493827,1245.8382352941176
23,521.25,1005.0,895.875,1026.4,871.3,743.8888888888889,682.8
